날짜,고가,저가,종가,MA-5,MA-15,EMA-5,EMA-15,RSI
2000-01-24,5900,5700,5700,5936.0,5828.666666666667,5865.593036459154,5896.493569050155,39.153439153439145
2000-01-25,5640,5440,5440,5804.0,5784.0,5723.72869097277,5839.431872918885,45.67901234567901
2000-01-26,5520,5410,5480,5708.0,5777.333333333333,5642.485793981847,5794.502888804025,45.67901234567901
2000-01-27,5620,5430,5520,5604.0,5770.666666666667,5601.657195987898,5760.190027703522,49.36708860759494
2000-01-28,5880,5540,5820,5592.0,5789.333333333333,5674.438130658599,5767.6662742405815,51.515151515151516
2000-01-31,5730,5560,5580,5568.0,5776.666666666667,5642.9587537724,5744.207989960509,44.973544973544975
2000-02-01,5680,5260,5320,5544.0,5746.666666666667,5535.305835848267,5691.181991215445,40.476190476190474
2000-02-02,5370,5110,5250,5498.0,5715.333333333333,5440.203890565512,5636.034242313514,39.351851851851855
2000-02-03,5460,4970,5130,5420.0,5676.666666666667,5336.802593710341,5572.779962024325,33.79629629629629
2000-02-07,5330,5040,5240,5304.0,5637.333333333333,5304.535062473561,5531.182466771284,28.500000000000014
2000-02-08,5480,5310,5430,5274.0,5592.666666666667,5346.356708315708,5518.534658424874,34.70319634703196
2000-02-09,5720,5480,5720,5354.0,5567.333333333333,5470.904472210472,5543.717826121764,44.871794871794876
2000-02-10,5880,5600,5760,5456.0,5554.0,5567.2696481403145,5570.753097856544,43.913043478260875
2000-02-11,5960,5680,5700,5570.0,5531.333333333333,5611.51309876021,5586.908960624476,45.909090909090914
2000-02-14,5660,5340,5380,5598.0,5498.0,5534.34206584014,5561.045340546417,43.162393162393165
2000-02-15,5420,5140,5200,5552.0,5464.666666666667,5422.894710560094,5515.914672978115,44.69026548672566
2000-02-16,5200,4780,5000,5408.0,5435.333333333333,5281.929807040063,5451.425338855851,40.08264462809918
2000-02-17,5099,4910,5080,5272.0,5408.666666666667,5214.619871360042,5404.99717149887,41.05691056910568
2000-02-18,5630,5160,5300,5192.0,5394.0,5243.079914240028,5391.872525061511,39.075630252100844
2000-02-21,5260,5030,5070,5130.0,5344.0,5185.386609493353,5351.638459428822,39.24050632911393
2000-02-22,5240,5000,5120,5114.0,5313.333333333333,5163.5910729955685,5322.683652000219,45.370370370370374
2000-02-23,5260,5100,5140,5142.0,5301.333333333333,5155.727381997046,5299.848195500192,47.393364928909946
2000-02-24,5240,5060,5070,5140.0,5289.333333333333,5127.151587998031,5271.117171062668,48.54368932038835
2000-02-25,5150,4980,5120,5104.0,5288.666666666667,5124.767725332021,5252.2275246798345,47.0
2000-02-28,5050,4800,4800,5050.0,5259.333333333333,5016.511816888014,5195.699084094855,35.21126760563381
2000-02-29,5140,4840,5120,5050.0,5238.666666666667,5051.007877925344,5186.236698582998,36.111111111111114
2000-03-02,5880,5520,5880,5198.0,5249.333333333333,5327.338585283563,5272.9571112601225,52.08333333333333
2000-03-03,6250,5880,6000,5384.0,5265.333333333333,5551.559056855709,5363.837472352607,55.10204081632653
2000-03-06,6050,5600,5640,5488.0,5261.333333333333,5581.03937123714,5398.357788308531,54.36241610738256
2000-03-07,5640,5480,5620,5652.0,5277.333333333333,5594.026247491427,5426.0630647699645,57.4468085106383
2000-03-08,6000,5500,5920,5812.0,5325.333333333333,5702.684164994285,5487.805181673719,65.75342465753425
2000-03-09,5980,5620,5620,5760.0,5366.666666666667,5675.122776662857,5504.329533964504,58.59872611464968
2000-03-10,5800,5520,5540,5668.0,5397.333333333333,5630.081851108572,5508.788342218941,54.0
2000-03-13,5490,5160,5180,5576.0,5389.333333333333,5480.054567405715,5467.689799441573,51.75718849840255
2000-03-14,5380,5160,5210,5494.0,5398.666666666667,5390.036378270477,5435.478574511377,51.44694533762058
2000-03-15,5400,5120,5400,5390.0,5417.333333333333,5393.357585513651,5431.043752697455,53.96341463414634
2000-03-17,5560,5400,5480,5334.0,5462.0,5423.714482450512,5433.767873158989,55.55555555555556
2000-03-20,5710,5530,5660,5430.0,5498.0,5502.476321633675,5462.046889014115,63.87096774193548
2000-03-21,5940,5610,5880,5564.0,5570.0,5628.317547755783,5514.2910278873505,62.666666666666664
2000-03-22,6300,5880,6200,5724.0,5642.0,5818.878365170523,5600.004649401431,56.25
2000-03-24,7120,6180,6800,6148.0,5716.666666666667,6230.612606742455,5815.628559697971,71.64179104477611
2000-03-28,7260,6820,7030,6606.0,5888.0,6623.605602996648,6075.090616018759,71.42857142857143
2000-03-29,7680,6979,7660,6898.0,6004.0,6969.070401997766,6273.204289016414,84.93150684931507
2000-03-30,7560,7050,7050,7068.0,6099.333333333333,6996.046934665178,6370.303752889362,71.8840579710145
2000-03-31,7070,6649,6700,7048.0,6176.666666666667,6897.364623110119,6411.515783778192,72.09302325581396
2000-04-03,7320,6860,7100,7108.0,6304.666666666667,6964.9097487400795,6497.576310805918,74.80314960629921
2000-04-04,7290,6659,6800,7062.0,6410.666666666667,6909.939832493386,6535.379271955178,67.85714285714286
2000-04-06,6960,6679,6680,6866.0,6496.0,6833.293221662258,6553.456862960781,65.84158415841584
2000-04-07,7260,6780,7200,6896.0,6616.0,6955.528814441505,6634.274755090683,69.19642857142857
2000-04-10,7499,7200,7300,7016.0,6737.333333333333,7070.352542961004,6717.490410704348,68.63636363636364
2000-04-11,7200,6950,7100,7016.0,6833.333333333333,7080.235028640669,6765.304109366304,63.926940639269404
2000-04-12,7030,6860,6910,7038.0,6902.0,7023.49001909378,6783.391095695516,58.35294117647059
2000-04-14,6680,6260,6260,6954.0,6906.0,6768.99334606252,6717.967208733577,50.61224489795919
2000-04-17,5750,5340,5520,6618.0,6860.666666666667,6352.662230708347,6568.221307641879,37.301587301587304
2000-04-18,6240,5860,6040,6366.0,6810.0,6248.441487138898,6502.193644186645,43.16546762589928
2000-04-19,6460,5860,6000,6146.0,6756.666666666667,6165.6276580926,6439.419438663314,40.40968342644321
2000-04-20,6160,5920,6020,5968.0,6689.333333333333,6117.085105395066,6386.9920088304,32.773109243697476
2000-04-21,6180,5970,6050,5926.0,6582.0,6094.723403596711,6344.8680077266,38.03827751196172
2000-04-24,6030,5760,5800,5982.0,6498.666666666667,5996.482269064474,6276.7595067607745,38.970588235294116
2000-04-25,5760,5520,5640,5902.0,6428.0,5877.654846042983,6197.164568415677,30.989583333333343
2000-04-26,5860,5600,5600,5822.0,6328.0,5785.103230695322,6122.518997363718,33.24022346368716
2000-04-27,5700,5400,5400,5698.0,6234.666666666667,5656.735487130215,6032.204122693253,32.51366120218579
2000-04-28,6100,5460,6000,5688.0,6189.333333333333,5771.156991420144,6028.178607356596,33.957219251336895
2000-05-02,6530,6120,6280,5784.0,6128.0,5940.771327613429,6059.656281437022,36.98979591836734
2000-05-03,6260,6090,6180,5892.0,6053.333333333333,6020.514218408953,6074.699246257394,37.958115183246065
2000-05-08,6700,6300,6560,6240.0,5968.666666666667,6235.784097070646,6146.879110415817,54.464285714285715
2000-05-09,6540,6340,6370,6314.0,5976.0,6280.522731380431,6174.76922161384,65.12455516014235
2000-05-10,6390,6270,6350,6328.0,6031.333333333333,6303.681820920288,6196.6730689121105,56.7099567099567
2000-05-12,6440,6160,6160,6324.0,6039.333333333333,6255.787880613526,6192.088935298097,53.25203252032521
2000-05-15,6530,6220,6440,6376.0,6068.666666666667,6317.191920409017,6223.077818385835,57.72058823529412
2000-05-16,6800,6510,6800,6424.0,6120.666666666667,6478.127946939345,6295.193091087605,62.295081967213115
2000-05-17,7340,6919,6920,6534.0,6178.666666666667,6625.418631292898,6373.293954701655,69.17808219178082
2000-05-18,7000,6680,6800,6624.0,6245.333333333333,6683.612420861933,6426.632210363948,70.13888888888889
2000-05-19,6900,6600,6900,6772.0,6329.333333333333,6755.741613907956,6485.803184068454,72.10884353741497
2000-05-22,6830,6620,6670,6818.0,6400.666666666667,6727.161075938638,6508.827786059897,71.38047138047138
2000-05-23,6700,6350,6380,6734.0,6466.0,6611.440717292426,6492.72431280241,57.14285714285714
2000-05-24,6370,5920,6200,6590.0,6479.333333333333,6474.293811528285,6456.133773702109,48.4375
2000-05-25,6380,5930,6000,6430.0,6460.666666666667,6316.195874352191,6399.117051989345,46.616541353383454
2000-05-26,5990,5600,5600,6170.0,6422.0,6077.463916234794,6299.227420490677,40.52287581699346
2000-05-29,5680,5240,5460,5928.0,6374.0,5871.642610823196,6194.323992929342,30.496453900709213
2000-05-30,5800,5520,5800,5812.0,6323.333333333333,5847.761740548798,6145.033493813175,40.4040404040404
2000-05-31,6290,5960,6160,5804.0,6309.333333333333,5951.841160365866,6146.904307086528,47.129909365558916
2000-06-01,6410,6120,6300,5864.0,6306.0,6067.894106910578,6166.041268700712,52.14723926380368
2000-06-02,6899,6510,6620,6068.0,6336.666666666667,6251.929404607052,6222.786110113123,52.72727272727273
2000-06-05,6980,6680,6740,6324.0,6356.666666666667,6414.619603071369,6287.437846348983,49.01960784313725
2000-06-07,6979,6510,6800,6524.0,6356.666666666667,6543.079735380914,6351.50811555536,48.0
2000-06-08,6960,6530,6530,6598.0,6330.666666666667,6538.719823587277,6373.819601110939,45.714285714285715
2000-06-09,7040,6530,7020,6742.0,6345.333333333333,6699.146549058185,6454.592150972072,51.694915254237294
2000-06-12,7280,7030,7190,6856.0,6364.666666666667,6862.764366038791,6546.518132100563,57.4712643678161
2000-06-13,7099,6870,7060,6920.0,6390.666666666667,6928.509577359195,6610.703365587992,60.24096385542169
2000-06-14,7639,7089,7640,7088.0,6474.666666666667,7165.673051572798,6739.365444889493,69.35483870967742
2000-06-15,7560,6999,7000,7182.0,6528.0,7110.448701048532,6771.944764278306,62.01923076923077
