Epoch [1/400], Total Loss: 14.741430878639221
Epoch [2/400], Total Loss: 14.54716581106186
Epoch [3/400], Total Loss: 14.516306221485138
Epoch [4/400], Total Loss: 14.199984908103943
Epoch [5/400], Total Loss: 14.025279819965363
  1%|▏         | 5/400 [00:06<08:20,  1.27s/it]


  2%|▏         | 8/400 [00:10<08:16,  1.27s/it]
Epoch [7/400], Total Loss: 13.446569621562958
Epoch [8/400], Total Loss: 13.157578527927399


  3%|▎         | 11/400 [00:14<08:15,  1.27s/it]
Epoch [10/400], Total Loss: 12.093602120876312

  3%|▎         | 12/400 [00:15<08:14,  1.27s/it]

  4%|▎         | 14/400 [00:17<08:11,  1.27s/it]
Epoch [13/400], Total Loss: 10.61063838005066

  4%|▍         | 15/400 [00:19<08:20,  1.30s/it]

  4%|▍         | 17/400 [00:22<08:50,  1.38s/it]
Epoch [16/400], Total Loss: 9.549189329147339

  5%|▍         | 19/400 [00:24<08:30,  1.34s/it]
Epoch [18/400], Total Loss: 8.622049480676651

  5%|▌         | 20/400 [00:26<08:21,  1.32s/it]

  6%|▌         | 22/400 [00:28<08:12,  1.30s/it]
Epoch [21/400], Total Loss: 8.210290879011154

  6%|▌         | 23/400 [00:29<08:11,  1.30s/it]

  6%|▋         | 25/400 [00:32<08:22,  1.34s/it]
Epoch [24/400], Total Loss: 7.535758525133133

  6%|▋         | 26/400 [00:33<08:12,  1.32s/it]

  7%|▋         | 28/400 [00:36<08:09,  1.32s/it]
Epoch [27/400], Total Loss: 6.546555191278458

  7%|▋         | 29/400 [00:37<08:08,  1.32s/it]

  8%|▊         | 31/400 [00:40<07:58,  1.30s/it]
Epoch [30/400], Total Loss: 5.970058560371399

  8%|▊         | 33/400 [00:42<07:52,  1.29s/it]
Epoch [32/400], Total Loss: 5.774239629507065

  8%|▊         | 34/400 [00:44<08:00,  1.31s/it]

  9%|▉         | 36/400 [00:46<07:59,  1.32s/it]
Epoch [35/400], Total Loss: 5.457920640707016

  9%|▉         | 37/400 [00:48<07:53,  1.30s/it]

