2023-10-17 08:55:52,739 INFO    StreamThr :2776276 [internal.py:wandb_internal():86] W&B internal server running at pid: 2776276, started at: 2023-10-17 08:55:52.738688
2023-10-17 08:55:52,741 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status
2023-10-17 08:55:52,745 INFO    WriterThread:2776276 [datastore.py:open_for_write():85] open: /workspace/TCN/wandb/run-20231017_085536-4uoxi9ge/run-4uoxi9ge.wandb
2023-10-17 08:55:52,746 DEBUG   SenderThread:2776276 [sender.py:send():380] send: header
2023-10-17 08:55:52,746 DEBUG   SenderThread:2776276 [sender.py:send():380] send: run
2023-10-17 08:55:58,277 INFO    SenderThread:2776276 [dir_watcher.py:__init__():211] watching files in: /workspace/TCN/wandb/run-20231017_085536-4uoxi9ge/files
2023-10-17 08:55:58,277 INFO    SenderThread:2776276 [sender.py:_start_run_threads():1122] run started: 4uoxi9ge with start time 1697532951.810051
2023-10-17 08:55:58,277 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:56:03,156 INFO    StreamThr :2776276 [internal.py:wandb_internal():86] W&B internal server running at pid: 2776276, started at: 2023-10-17 08:56:03.156044
2023-10-17 08:56:03,159 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status
2023-10-17 08:56:03,162 INFO    WriterThread:2776276 [datastore.py:open_for_write():85] open: /workspace/TCN/wandb/run-20231017_085603-s0r8cksy/run-s0r8cksy.wandb
2023-10-17 08:56:03,163 DEBUG   SenderThread:2776276 [sender.py:send():380] send: header
2023-10-17 08:56:03,163 DEBUG   SenderThread:2776276 [sender.py:send():380] send: run
2023-10-17 08:56:03,278 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:56:08,169 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: keepalive
2023-10-17 08:56:08,279 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:56:08,740 INFO    SenderThread:2776276 [dir_watcher.py:__init__():211] watching files in: /workspace/TCN/wandb/run-20231017_085603-s0r8cksy/files
2023-10-17 08:56:08,740 INFO    SenderThread:2776276 [sender.py:_start_run_threads():1122] run started: s0r8cksy with start time 1697532963.15454
2023-10-17 08:56:08,741 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:56:13,173 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: keepalive
2023-10-17 08:56:13,280 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:56:13,742 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:56:18,176 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: keepalive
2023-10-17 08:56:18,281 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:56:18,742 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
2023-10-17 08:56:23,180 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: keepalive
2023-10-17 08:56:23,282 DEBUG   HandlerThread:2776276 [handler.py:handle_request():146] handle_request: status_report
